,GBs,tokens,name
496,"{'128', '64'}","['sony', 'karta', 'micro', '64', 'usb', 'flash', 'laufwerk', '64', 'gb', 'usb', 'drive', 'microsdxc', 'sdc10g2', '128', 'gb', 'sd', 'sd', 'type', 'type']","SONY KARTA MICRO 64 USB-FLASH-LAUFWERK 64GB USB DRIVE MICROSDXC SDC10G2/128GB 1) SD SD TYPE-A/TYPE-C,"
497,{'32'},"['toshiba', 'memoria', 'usb', '3.0', 'de', '32', 'gb', 'color', 'plata']","Toshiba THNV32OSUSIL(8 - Memoria USB 3.0 de 32 GB, color plata"
498,{'8'},"['lexar', 'tarjeta', 'de', 'memoria', 'sd', 'premium', 'de', 'gb', 'con', 'hasta', '45', 'mb', 'clase', '10', 'velocidad', 'de', '300x']","Lexar LSD8GBBBEU300 - Tarjeta de memoria SD Premium de 8 GB (con hasta 45 MB/s, Clase 10, velocidad de 300x)"
499,{'128'},"['toshiba', 'exceria', 'pro', 'n401', '128', 'gb', 'sdxc', 'uhs', 'clase', 'memoria', 'flash', 'tarjeta', 'de', 'memoria', 'sdxc', 'uhs', 'clase', 'negro', 'prueba', 'de', 'rayos', 'iso', '7816']","Toshiba EXCERIA PRO - N401 128GB SDXC UHS-I Clase 3 memoria flash - Tarjeta de memoria (SDXC, UHS-I, Clase 3, Negro, A prueba de rayos X, ISO 7816-1)"
500,{'32'},"['sandisk', '64', 'quot', 'flair', 'quot', 'series', '32', 'gb', 'di', 'class', 'sdhc', 'ac', 'type']",SanDisk 64 &quot;Flair&quot; Series 32GB di + Class SDHC\n AC Type-A
501,set(),"['sandisk', 'extreme', 'ultra', 'usb', 'sdxc', 'class', 'memory', '128', 'fino', '95', 'hasta']",Sandisk Extreme Speicherkarte Ultra USB SDXC Class Memory 128 4K Accesorios Fino 95 - hasta
502,{'128'},"['carte', 'xqd', 'gb', 'uz', 'sandisk', '300x', '128', 'gb', 'adapter', 'uhs', '150', 'mb', 'sek.ffp', '3.1', 'sd']","CARTE XQD GB UZ SANDISK 300X 128GB, ADAPTER UHS-I, 150MB/SEK.FFP 3.1 - - SD"
503,{'128'},"['intenso', 'cs', 'ultra', 'dual', '128go', '3.0', '10', 'bis', '64', 'flashdisk', 'en']",Intenso CS/Ultra Dual X 128Go 3.0 10 bis 64 flashdisk en
504,set(),"['sandisk', 's70', 'extreme', 'flash', '3.0', 'uhs', 'u1', 'zwart', 'zone']",Sandisk - S70 Extreme flash 3.0 UHS-I U1 Mediamarkt.es Zwart Zone
505,{'64'},"['sony', 'extreme', '32', '300x', 'usb', 'flash', 'laufwerk', 'r90', '64', 'gb', '128', 'de', 'avec']",SONY Extreme 32 300x USB-Flash-Laufwerk R90 (64GB) 128 de avec
506,{'32'},"['intenso', 'micro', '2933x', 'uii', 'dual', 'mb', 'sek', '95r', '90w', '32', 'gb', 'sous', 'video', 'uhs', 'jusqu', 'usb', 'mb', 'bestellen']","INTENSO Micro - 2933x UII dual - MB/Sek, (95R/90W) 32GB, Sous Video (UHS-I jusqu\'à USB MB/s, bestellen!"">"
507,{'64'},"['sony', 'usb', 'usb', 'stick', 'class', 'rojo', 'cl.10', '64go', '300x']","SONY USB USB-Stick, Class PROFESSIONAL rojo CL.10 64Go 300x"
508,set(),"['sandisk', 'sd', 'memoria', 'serie', 'de', 'gb', '45', 'mb', 'v30', 'mb', 'usb']","sandisk sd memoria g-serie de gb, 45mb v30 mb/s, usb"
509,"{'128', '32'}","['sandisk', 'sda10', '128', 'gb', 'memoria', 'aacute', 'rtya', '32', 'gb', '64', 'u3', 'pour', 'fino', 'adapter', '90', 'egypt', 'di', 'microsdhc']","sandisk sda10/128gb memoria k&aacute;rtya 32gb 64 u3 pour | fino adapter 90 egypt temperatura di microsdhc, (mk483394661)"
510,{'64'},"['angelis', 'bis', 'sandisk', 'dual', '64', 'gb', 'sdhc', 'sdxc', 'gb', 'obs', 'ugi', 'se9', '90', 'mb', 'sek', 'sd', 'de']","Professional Angelis bis Sandisk Dual 64GB SDHC/SDXC GB + obs?ugi SE9 90MB/Sek. SD, de"
511,{'32'},"['memoria', 'ultra', 'canvas', 'ultra', '10', '10', '90', 'da', 'dtig4', '32', 'gb', 'card']","memoria ultra canvas ultra / 10 10 90 da go technology,dtig4/32gb card"
512,{'32'},"['gb', '32', 'gb', 'sandisk', 'b35a', '10', 'di', 'karta', 'en', 'microusb', 'sandisk', '32', 'mb', 'sec', 'dans']","GB, 32GB adaptateur,SanDisk,SDSDQM-016G-B35A 10 di Karta en microUSB Sandisk 32 MB/sec, dans"
513,{'32'},"['sandisk', 'telephone', 'sdhc', '32go', 'uhs-2']",SANDISK TÉLÉPHONE MICROVAULT SDHC 32GO UHS-2
514,{'64'},"['sony', '32', 'read', '10', 'cl10', '128', 'de', 'pro', '95', 'mb', '64', 'gb', '64', 'gb']","- sony 32 read 10 cl10 128 de pro 95mb/s 64gb 64gb,"
515,set(),"['intenso', '3534490', 'memoria', 'usb', 'llave', 'usb', 'en', 'fnac.es']",Intenso 3534490 - Memoria USB Llave USB en Fnac.es
516,"{'32', '16'}","['memoria', 'microsdxc', 'pro', 'reg', '32', 'gb', 'xqd', '16', 'gb', 'u3', 'class', '32', 'gb', '64']",Memoria microSDXC PRO&reg; 32GB XQD 16GB\n U3/Class 32 GB 64
517,{'128'},"['toshiba', 'exceria', 'pro', 'n101', '128', 'gb']","TOSHIBA EXCERIA PRO N101, 128 GB"
518,{'128'},"['pny', 'attache', '2.0', '128', 'gb', '128', 'gb', 'usb', '2.0', 'usb', 'type', 'connector', 'black', 'usb', 'flash', 'drive', 'usb', 'flash', 'drives', '128', 'gb', '2.0', 'usb', 'type', 'connector', '25', 'mb', 'slide', 'black', 'pny', 'fd128att4', 'ef']","PNY Attaché 4 2.0 128GB 128GB USB 2.0 USB Type-A connector Black USB flash drive - USB Flash Drives (128 GB, 2.0, USB Type-A connector, 25 MB/s, Slide, Black),PNY,FD128ATT4-EF"
519,set(),"['flair', 'usb', 'cle', 'imaging', 'usb', 'class', '80', 'mb', '100', 'sony', 'uhs', 'de', ""jusqu'a"", '128', 'rayon']",FLAIR USB CLÉ IMAGING USB-FLASHSTATION CLASS (LSD32GCRBEU2000R) 80MB/S 100 SONY UHS - DE JUSQU'À 128 (MK401227560) RAYON
520,"{'32', '0'}","['samsung', 'sdhc', 'usb3.0', '32', 'gb', '16', '3.0', 'gb']","Samsung SDHC G Usb3.0 32GB 16 3.0 GB,"
521,{'16'},"['sony', 'pami', 'ci', 'alu', 'glide', 'ultra', '90', '40', 'mb', 'kupon', '1198491', '300', 'mb', 'adapt', '10', 'jetzt', 'sdc4', '16', 'gb']","SONY pami?ci ALU GLIDE Ultra 90/40MB/S KUPON (1198491) 300MB/s C/ADAPT 10, Jetzt SDC4/16GB"
522,set(),"['sandisk', 'sd', 'usb2.0', 'select', '256']",sandisk sd usb2.0 select 256
523,"{'64', '16'}","['intenso', 'usb', '64', 'gb', 'microsdhc', '16', 'gb', '50', '139790', 'blu', '32', 'mo', 'vitesse', 'micro', 'usb', 'hasta', 'a2', 'usb', 'mo']","INTENSO USB 64GB microSDHC 16GB 50 (139790) Blu 32 Mo/s, Vitesse Photographic micro-USB hasta A2 USB Mo/s,"
524,{'16'},"['kingston', 'microsd', 'action', 'camera', 'uhs', 'u3', 'sdcac', '16', 'gb', 'mit', 'adapter']",Kingston microSD Action Camera UHS-I U3 SDCAC 16GB Speicherkarte mit Adapter
525,{'16'},"['lexar', 'jumpdrive', 's70', '16go', 'usb', '2.0', 'gris', 'ljds70', '16gabeu']",Lexar JumpDrive S70 16Go USB 2.0 Gris - LJDS70-16GABEU
526,"{'128', '64', '16'}","['sony', 'microsdhc', '16', 'gb', '64', 'gb', '128', 'gb', '139717', 'u3', 'class', '16', 'gb', 'usm32gxw', '10', 'emballage', 'inkl', 'amazon.es']",Sony microSDHC 16GB 4 64GB (128GB) (139717) U3/Class 16GB USM32GXW 10 Emballage inkl Amazon.es:
527,{'64'},"['sandisk', 'sdxc', 'c20', 'sfg1u', '3.0', '64', 'gb', 'card', 'micro', 'adapter', '3.0', 'sports', 'di', 'black', 'grey', 'sandisk', 'gn6in']","SanDisk SDXC C20M SFG1U, 3.0 64GB Card - MICRO+ADAPTER 3.0 Sports - di Black/Grey,SanDisk,SDSDUNC-016G-GN6IN"
528,{'128'},"['10', '128', 'gb', 'gb', 'sdhc', 'black', 'sandisk', '100', 'classe', 'gb', 'hc2', 'type', 'memory', '3.0']","10 128GB GB SDHC Black SANDISK 100 Classe GB HC2 Type-A, Memory 3.0"
529,{'16'},"['carte', 'sds', 'ma', 'ymi', 'sd', '16', 'gb', 'sandisk', 'memory', 'de', '50', '95', 'mb', 'microsdhc']","transmemory carte sds ma?ymi sd 16gb sandisk memory de - speicherkarte, 50 95mb/s microsdhc"
530,{'128'},"['sandisk', 'micro', 'micro', 'carte', 'plus', '128', 'gb', 'dans', 'flash', '100', 'red', 'es']","SanDisk MICRO Micro flashgeheugenkaart Carte PLUS 128GB Go - dans flash 100 Red, Es"
531,{'16'},"['sandisk', 'dual', 'drive', 'type', 'usb', '3.0', '16', 'gb', '130', 'mb']","SANDISK DUAL DRIVE, TYPE-C, USB 3.0, 16GB, 130 MB/S"
532,{'64'},"['sandisk', 'sandisk', 'sandisk', 'unidad', 'flash', 'memoria', 'flash', 'usb', 'doble', 'sandisk', 'ultra', 'de', '64', 'gb', 'con', 'usb', '3.1', 'type', 'sandisk', 'sdddc2', '064g', 'g46']","Sandisk,Sandisk,SanDisk Unidad flash - Memoria flash USB doble SanDisk Ultra de 64 GB con USB 3.1 Type-C,SanDisk,SDDDC2-064G-G46"
533,"{'32', '128'}","['kingston', 'microsdhc', '32', 'gb', '128', 'gb', '64', '90', 'mb', 'gb', '28', 'fotoksi', '10', 'egypt', 'amazon.de', 'classe']",KINGSTON - MICROSDHC 32GB 128GB 64 90MB/S ADAPTATEUR + GB (28 FOTOKSI??K? 10 EGYPT KOSTENLOSER AMAZON.DE CLASSE
534,set(),"['tarjeta', 'usm-8x', 'sandisk', '64', 'memory', '95', 'mb', 'photo', 'digital', 'bleu']",TARJETA USM-8X SANDISK D 64 + MEMORY 95MB PHOTO DIGITAL) BLEU
535,{'32'},"['sandisk', 'extreme', '64', 'type', '32', 'gb', 'sdhc', 'sdxc', 'stick', '300x']",SANDISK EXTREME 64 TYPE-C 32GB SDHC/SDXC STICK - 300X +
536,{'4'},"['intenso', 'rainbow', 'line', 'usb', 'stick', 'gb', 'blau']",Intenso Rainbow Line - USB-Stick - 4 GB - Blau
537,{'32'},"['sandisk', 'extreme', '64', 'type', '32', 'gb', '32', 'sdhc', 'sdxc', 'stick', '300x']",SanDisk Extreme 64 TYPE-C 32GB 32 SDHC/SDXC Stick - 300x +
538,{'32'},"['sandisk', 'ultra', 'class', '10', 'microsd', 'memory', 'card', '32', 'gb']",SANDISK Ultra Performance Class 10 microSD Memory Card - 32 GB
539,set(),"['sandisk', 'usb', 'sdxc', 'cl-10', 'serie', 'micro', '16', 'memory', 'noir', 'thn']",Sandisk USB SDXC CL-10 Serie micro 16 Memory | NOIR to - THN-N401S0160E4 [Frustfreie
540,{'64'},"['lexar', 'jumpdrive', 's25', '64', 'gb', 'usb', '3.0', 'flash', 'drive', 'ljds25', '64gabeu', 'viola']",Lexar JumpDrive S25 64GB USB 3.0 Flash Drive LJDS25-64GABEU (Viola)
541,set(),"['karta', 'extreme', 'micro', 'sandisk', 'class10', '64', 'games']",Karta Extreme Micro X Sandisk 1/Class10 64 Games
542,{'128'},"['lexar', 'p20', '128', 'gb', 'usb', '3.0', 'jumpdrive', 'ljdp20', '128crbeu']",Lexar P20 128GB USB 3.0 JumpDrive - LJDP20-128CRBEU
543,{'16'},"['toshiba', 'thn', '16', 'gb', 'exceria', 'pro', 'm401', 'microsd', 'card']",Toshiba THN-M401S0160E2 16 GB EXCERIA PRO M401 MicroSD Card
544,set(),"['sdcz60', '016g', 'b35', 'ultra', 'attach', 'sandisk', 'gen', 'a1', '300', 'mb', 'series', 'microsdxc', 'card', 'sd', '150', 'mb', 'sek']",SDCZ60-016G-B35 Adaptateur Ultra Attach? Sandisk Gen Informática A1 300MB/s X-series microSDXC-Card a SD 150&nbsp;MB/Sek. adattatore
545,{'10'},"['sandisk', 'extreme', 'microsdhc', '150', 'mb', 'sec', '16', 'memoria', '10', 'cl10', 'gb', '10']",SANDISK Extreme® microSDHC (150MB/Sec) 16 memoria 10&nbsp; 8 CL10 GB 10
546,{'128'},"['usb', 'ultra', 'sdxc', '128', 'gb', 'plus']","USB ULTRA SDXC 128GB PLUS, -"
547,set(),"['sony', 'pami', 'ci', 'microsdhc', '300x', 'sdhc', '45', 'mb', '94', 'usb', 'red', 'con']",sony pami?ci microsdhc 300x sdhc adapatador 45mb/s go 94 (usb red con
548,{'32'},"['memoire', '32', 'gb', 'jumpdrive', 'c20', 'lexar', 'achat', 'dans', 'le', 'rayon', 'cles', 'usb', 'usb', '3.1']",Mémoire 32GB JumpDrive C20m LEXAR Achat dans le rayon Clés USB USB 3.1
549,set(),"['sandisk', 'secure', 'extreme', 'pendrive', 'usb', 'achat', 'sd', 'card', 'fnac.es', '3.0', 'sd', '29eur', 'rayon']","SanDisk - DataTraveler Secure Extreme Pendrive USB Achat SD Card Fnac.es 3.0 SD, Kostenloser 29€. rayon"
550,set(),"['sandisk', 'ultra', 'canvas', 'tarjeta', '10', '32', 'sd', 'pendrive', 'schwarz', '10', '48', 'mb']","SanDisk Ultra Canvas Tarjeta 10 32 SD Pendrive schwarz 10 48MB/s,"
551,{'256'},"['sandisk', 'cruzer', 'reg', 'glide', 'trade', 'usb', 'flash', 'laufwerk', '256', 'gb']","SANDISK Cruzer&reg; Glide&trade; USB Flash-Laufwerk, 256 GB"
552,{'128'},"['kingston', 'carte', 'sda3', '128', 'gb', 'sdhc', 'sdxc', 'uhs', 'u3', '128', 'gb', 'vitesses', '90r', '80w']","Kingston Carte SDA3/128GB SDHC/SDXC UHS-I U3, 128 GB Vitesses 90R/80W"
553,"{'10', '64', '32'}","['thn', '32', '64', 'gb', 'ultra', 'ii', '10', 'gb', 'microsdhc', 'le', '275', 'lecture', '32', 'gb', 'di', 'v30']","Minneskort Thn-m302R0640EA 32 64GB Ultra II, 10 GB, MicroSDHC (LSD32GCRBEU2000R) le 275 Lecture 32GB di V30,"
554,{'64'},"['carte', 'memoire', 'sdxc', 'sandisk', 'ultra', 'plus', '64', 'classe', '10']","Carte mémoire SDXC SanDisk Ultra PLUS 64 Go, Classe 10"
555,{'128'},"['toshiba', 'u202', '128', 'gb']","TOSHIBA TransMemory U202, 128 GB"
556,set(),"['lexar', 'usb', 'flair', 'microsdxc', 'card', 'pro', 'memory', 'bei', '10', 'achat', 'incluido', 'formatted', 'meta', 'u3']","Lexar USB Flair microSDXC Card - - Speicherkarte pro Memory bei 10 Achat incluido: formatted <meta U3,"
557,set(),"['intenso', 'usb', 'stick', 'sd', 'ultra', '2.0', 'karte', 'warenkorb', 'c10']",INTENSO USB-STICK SD N ULTRA 2.0-KARTE + WARENKORB C10
558,set(),"['memoria', 'alu', 'usb', 'sandisk', 'adapter', 'cruzer', 'sdhc', 'sdxc']",Memoria Alu USB - SANDISK 3 - adapter Cruzer + SDHC/SDXC
559,set(),"['usb3.1', 'lexar', '3503470', 'clase', '64', 'uhs', 'karty', '173449', 'series']",USB3.1 TRANSMEMORY LEXAR 3503470 CLASE 64 UHS-I KARTY (173449) - SERIES 1 Y
560,"{'32', '64'}","['sony', 'ultra', 'n302', 'carte', '32', 'gb', 'chiavetta', 'usb', '64', 'gb', 'flash', 'cards', 'usb', 'minne']","Sony Ultra N302 Carte 32GB, Chiavetta USB 64GB Flash Cards USB-minne"
561,{'32'},"['pendrive', 'lexar', 'jumpdrive', 'c20', 'usb', '3.1', '32', 'gb', 'con', 'cable', 'plata', 'negro', 'azul']",Pendrive Lexar JumpDrive C20m USB 3.1 32 GB con cable plata/negro/azul
562,set(),"['samsung', 'memory', 'gb', 'memoria', 'usb', 'microsd', 'dual', 'blade', 'ultra']","SAMSUNG MEMORY GB MEMORIA USB MICROSD, DUAL BLADE ULTRA"
563,"{'256', '16'}","['sdisk', 'usb', 'ultra', 'line', '16', 'gb', '256go', '3.0', '32', '100']",SDISK USB Ultra Line 16GB ) Speicherkarte 256Go 3.0 32 100
564,set(),"['10', '300', 'mb', 'microsdxc', '32', 'rosa', '128', 'ultra', 'type', 'a1', 'clase', 'sandisk', 'bis', 'aplikacja', 'v30']","10, 300MB/s microSDXC 32 rosa + 128 ULTRA Type-a A1 (Clase Sandisk bis aplikacja V30"
565,{'128'},"['usb', 'ultra', 'sdxc', '128', 'gb', 'plus']","USB Ultra SDXC 128GB Plus, -"
566,{'32'},"['lexar', 'extreme', 'memoria', 'uhs', 'usb', '32', 'gb', 'clase', 'grade', 'schwarz', 'preis', 'classe', '3.0']",LEXAR EXTREME MEMORIA UHS-I USB 32GB CLASE GRADE SCHWARZ PREIS CLASSE 3.0
567,{'32'},"['kingston', '101', 'g2', 'memoria', 'usb', 'de', '32', 'gb', 'morado', 'paquete', 'abrefacil', 'amazon.es']","Kingston DataTraveler 101 Generación 2 (G2) - Memoria USB de 32 GB, morado, paquete abrefácil: Amazon.es: Informática"
568,set(),"['sandisk', 'sdhc', 'scheda', 'dtduo3', 'antracyt', '3.1', 'flash', 'type', 'type', '64', '10']","SanDisk - sdhc Scheda - DTDUO3 Antracyt 3.1 flash Type-A/Type-C, 64 10"
569,{'64'},"['toshiba', 'exceria', 'sdhc', '64', 'gb', 'bis', 'zu', '95', 'mb', 'lesen', 'schwarz']",Toshiba Exceria SDHC 64GB (bis zu 95MB/s lesen) Speicherkarte schwarz
570,{'128'},"['sandisk', '128', 'gb', 'digital', 'microsdhc', '32', 'class', 'tarjetas', 'gen1']",SanDisk 128GB Digital - microSDHC 32 Class Tarjetas Gen1
571,set(),"['carte', 'sandisk', 'cruzer', 'type', 'plus', 'uhs', 'sdc4', 'fnac.es', '90mo', 'sandisk', 'gncin', 'carte', '300', 'mb', 'incl', 'micro']","Carte DataTraveler Sandisk Cruzer Type Plus UHS-I sdc4 Fnac.es 90Mo/s,,SanDisk,SDSDXNE-016G-GNCIN,Carte 300MB/s Incl. micro"
572,set(),"['pam', 'ova', 'sandisk', 'dual', 'sdhc', 'usb', 'u3', 'class', '3.0', 'memory', 'speed', 'grey', 'adapter', 'p6', 'mb']",Pam??ová SanDisk Dual SDHC USB U3/Class 3.0 Memory speed ( Grey adapter p6 MB/s
573,{'64'},"['carte', 'memoire', 'sdxc', 'sandisk', 'ultra', 'plus', '64', 'classe', '10']","Carte mémoire SDXC SanDisk Ultra PLUS 64 Go, Classe 10"
574,{'16'},"['kingston', 'sdhc', '16', 'gb', 'ultimate', 'memory', 'class', '10', 'uhs']",Kingston SDHC 16GB Ultimate Memory Class 10 UHS-I
575,"{'32', '64'}","['kingston', 'xqd', 'sd', 'sdxc', 'sdxc', '64', 'gb', 'extreme', 'sr64uya', 'sd', 'blue', 'blister']","KINGSTON XQD SD SDXC SDXC 64GB Extreme SR64UYA (LSDMI32GBBEU633A) SD Blue, blister"
576,set(),"['sdhc', 'ultra', 'uhs', 'microsdhc', 'kingston', 'sdhc', 'uhs', 'clase']","sdhc ultra uhs-i microsdhc kingston sdhc uhs-i, (clase"
577,{'64'},"['cle', 'usb', 'lexar', 'jumpdrive', 's25', '64', 'gb', '4110315']",Clé USB Lexar JUMPDRIVE S25 64GB (4110315)
578,set(),"['sandisk', '60', 'extreme', 'extreme', 'carte', '2.0', 'mb', 'zu', 'uhs']","sandisk technology 60 extreme extreme carte 2.0, mb/s, zu uhs-i"
579,set(),"['disque', 'dur', 'externe', 'sony', 'hd', 'sl', 'hd', 'sl', 'seu']",Disque dur externe Sony HD-SL 1 To - HD-SL 1 SEU 1 To
580,{'8'},"['sony', 'sf8u', 'tarjeta', 'de', 'memoria', 'sdhc', 'de', 'gb', 'clase', '40', 'mb', 'uhs', 'sony', 'can985']","Sony SF8U - Tarjeta de Memoria SDHC de 8 GB (Clase 4, 40 MB/s, UHS-I),Sony,CAN985"
581,{'32'},"['lexar', 'jumpdrive', 's25', '32', 'gb', 'usb', '3.0', 'flash', 'drive', 'ljds25', '32gabeu', 'green']",Lexar JumpDrive S25 32GB USB 3.0 Flash Drive LJDS25-32GABEU (Green)
582,{'32'},"['shop', 'samsung', 'galaxy', 'a10', 'dual', 'sim', 'black', '32', 'gb', 'lte', 'online', 'egypt']",Shop Samsung Galaxy A10 Dual SIM Black 32GB 4G LTE online in Egypt
583,{'32'},"['lexar', 'jumpdrive', 'p20', '32', 'gb', 'pendrive', 'memoria', 'usb', 'en', 'fnac.es']",Lexar JumpDrive P20 32GB - Pendrive / Memoria USB en Fnac.es
584,set(),"['antracyt', 'sdhc', '64', 'flash', 'dtduo3', '10', '3.1', 'type', 'type', 'scheda', 'sandisk']","antracyt - sdhc 64 flash dtduo3 10 3.1 - type-a/type-c, scheda sandisk"
585,{'16'},"['sony', 'usm16ca1', 'usb', 'flash', 'laufwerk', '16', 'gb', 'usb', '3.1', 'usb', 'type']",Sony USM16CA1 - USB-Flash-Laufwerk - 16 GB - USB 3.1 / USB Type-C
586,{'4'},"['pendrive', 'gb', 'usb2.0', 'intenso', 'rainbow', 'negro']",Pendrive 4gb Usb2.0 Intenso Rainbow Negro
587,set(),"['disque', 'dur', 'externe', 'sony', 'dd2.5', 'tb', 'compact', 'noir']",Disque dur externe Sony DD2.5 1TB COMPACT NOIR
588,{'128'},"['toshiba', '128', 'gb', 'sdxc', '128', 'gb', 'sdxc', 'uhs', 'class', 'memory', 'card', 'memory', 'cards', '128', 'gb', 'sdxc', 'class', '260', 'mb', '150', 'mb', 'uhs']","Toshiba 128GB SDXC 128GB SDXC UHS Class 3 memory card - memory cards (128 GB, SDXC, Class 3, 260 MB/s, 150 MB/s, UHS)"
589,{'64'},"['sandisk', 'dual', 'drive', 'usb', '3.0', 'type', 'pendrive', '64', 'gb', '173338', 'sdddc2', '064g', 'g46']",SANDISK Dual Drive USB 3.0/Type-C pendrive 64GB (173338) (SDDDC2-064G-G46)
590,{'32'},"['sandisk', 'sdhc', '32', 'gb', '80', 'mb', 'cl10']",SANDISK SDHC 32GB 80MB/S CL10\n
591,{'16'},"['sony', 'carte', 'memoire', 'sdhc', '16', 'class4']",Sony Carte mémoire SDHC 16 Go Class4
592,{'32'},"['lexar', 'xqd', '32', 'gb', '210', 'mb', '1400x']",Lexar XQD 32GB 210MB/s 1400x
593,{'32'},"['memoria', 'microsdxc', '633x', 'mobile', '633x', 'sdhc', 'kingston', 'gb', '128', 'flash', 'sd', 'adapter', 'lecteur', 'u3', '32', 'gb', 'micro', 'adaptador']","Memoria microSDXC 633x Mobile 633x SDHC Kingston GB, 128 Flash SD-Adapter lecteur u3 32gb Micro adaptador"
594,set(),"['cle', 'direct', 'sandisk', 'uhs', 'ii', 'x633', 'sd', 'de']",Clé direct: Sandisk UHS-II x633 - SD de
595,set(),"['karta', 'extreme', 'micro', 'sandisk', 'class10', '64', '2.0', 'games', 'memorie']",karta extreme micro x sandisk 1/class10 64 2.0 games memorie
596,set(),"['toshiba', 'class', 'pro', '16', '10', '16', '2.0', '10']","toshiba class pro 16 10 speicherkarte, 16 2.0 10"
597,set(),"['sony', 'card', 'ultra', '90', 'mb', 'sec', 'ultra', '100', 'mb', '10', '150']","SONY CARD, ULTRA - 90MB/SEC ULTRA 100MB/S - 10 150"
598,{'128'},"['tesco', 'direct', 'lexar', 'jumpdrive', 'c20c', '128', 'gb', 'usb', '3.0', '3.1', 'gen', 'type', 'type', 'black', 'silver']",Tesco direct: Lexar JumpDrive C20c 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Black Silver
599,"{'64', '8'}","['sandisk', 'usb', 'memoire', '64', 'gb', 'g2', 'cl10', 'dt50', 'gb', 'g2', 'uhs']","SanDisk USB mémoire - 64GB G2, CL10 DT50/8GB G2 UHS"
600,{'32'},"['toshiba', '32', 'gb', 'pro', '32', 'sd', 'usb', 'mb', 'adapter', 'scheda', '16', '90']","TOSHIBA 32GB Go Pro 32G SD USB MB/s, Adapter scheda 4G 16 90"
601,set(),"['sandisk', '3.0', 'sdxc', 'usb', 'uhs', 'memoire', 'drive', 'clase']",sandisk 3.0 sdxc usb uhs mémoire drive clase
602,set(),"['sandisk', 'micro', 'memoire', 'extreme', '64', '32', 'gn6ma', 'et', 'foto']",SanDisk micro mémoire EXTREME 64G Go\n 32 (SDSQXAF-064G-GN6MA) - et 8 Foto
603,set(),"['tarjeta', 'ultra', 'sandisk', '90', 'mb', 'sec', 'pro', '80', 'mb', 'metal', '3.0', 'przeno', 'ne']",Tarjeta Ultra SANDISK 90MB/Sec Pro 80MB/s METAL 3.0 8 przeno?ne
604,{'32'},"['intenso', 'extreme', 'microduo', 'xc', 'ultra', '299', '32', 'gb', 'polecana']",Intenso Extreme microDuo XC Ultra 299 32GB - polecana Accesorios
605,{'8'},"['uhs-1', '4070526', 'samsung', 'usb', '3.0', 'ultra', 'multi']","uhs-1) lsd8gbbbeu300 (4070526) samsung usb 3.0, + ultra multi"
606,{'128'},"['carte', 'sdxc', 'sandisk', 'ext', '128go', 'uhs', 'classe', '10']",CARTE SDXC SANDISK EXT+ 128GO UHS 1 CLASSE 10
607,{'128'},"['cle', 'micro', 'usb', 'lexar', 'jumpdrive', 'c20', '128']",Clé micro-USB Lexar JumpDrive C20m 128 Go
608,{'16'},"['tarjeta', 'sdcs', '16', 'gb', '32', 'ram', '3.0', 'uhs', '3.0', '300', 'mb']","TARJETA SDCS/16GB 32 GENERACIÓN RAM 3.0 UHS-I, 3.0 300MB/S | ?"
609,set(),"['sandisk', 'tarjeta', 'memoria', '100', 'mb', 'sec', 'extreme', 'plus', 'dti', 'class']",SanDisk TARJETA memoria 100MB/Sec Extreme PLUS - Minneskort DTI Class
610,{'128'},"['toshiba', 'u202', '128', 'gb', 'usb', 'flash', 'drive', 'usb', '2.0', 'white', 'thn']",Toshiba TransMemory U202 128GB USB Flash Drive USB 2.0 - White - THN-U202W1280E4
611,{'10'},"['intenso', 'usb', 'canvas', 'carte', 'memoria', 'classe', '10', 'gb', 'silber', 'schwarz', 'blau']","INTENSO USB Canvas Carte Memoria Classe 10 GB, silber-schwarz blau"
612,{'32'},"['toshiba', 'exceria', 'pro', 'n401', '32', 'gb', 'sd', 'memory', 'card', '95', 'mb', 'hd', 'thn']",Toshiba Exceria Pro N401 32GB SD Memory Card 95 MB/s 4K HD - THN-N401S0320E4
613,{'32'},"['sony', '32', 'gb', 'ultra', '10', 'u3', 'class', 'classic', 'classe', 'flash', 'wex', 'versand', 'lecteur']","Sony 32GB Ultra 10 U3/Class Classic Classe - Flash X, Wex Versand Lecteur"
614,{'64'},"['lexar', 'direct', 'blade', 'tm', 'memoire', 'stick', '64go', 'read', '64', 'gb', 'microsdhc']",lexar direct: blade™ mémoire professional stick 64go+read 64gb - microsdhc - /
615,set(),"['sandisk', 'memoire', 'sdhc', 'tarjeta', '633x', 'usb', 'gb', 'uhs', 'usb', 'lectura', 'con', 'mobil']","Sandisk Mémoire SDHC Tarjeta 633x USB GB UHS-I, USB lectura con mobil"
616,{'32'},"['intenso', 'ultra', 'microsd', '32', 'gb', '32', 'gb', '32', 'gb', '32go', '2.0', 'cameras']",INTENSO ULTRA MICROSD 32GB 32GB 32 GB 32GO 2.0 - CAMERAS
617,{'8'},"['sandisk', 'sdhc', 'gb', 'extreme', 'pro', 'sd', 'secure', 'digital', 'memorie', 'foto', 'de', 'angelis']",Sandisk SDHC 8 Gb EXTREME PRO | SD (secure digital) | Memorie | Foto De Angelis
