,date,volume,pages,title,journal,author,publisher,note,address,booktitle,editor,booktile,tech,institution,Pages,year,type,month
309, (1990). ,"II, ", pp. 524-532. , The Cascade-Correlation Learning Architecture. ,," Fahlman, S.E. and Lebiere, C. ", Morgan Kaufmann. ,,, Advances in Neural Information Processing Systems ,,,,,,,,
310, 1990. ," Vol. 2, "," pp. 524-532, "," ""The Cascade Correlation Learning Architecture,"" ",," Fahlman, S.E. and Lebiere, C., "," Morgan Kaufmann, ",,," NIPS,",,,,,,,,
311, (1989). ,,, The cascade-correlation learning architecture. ,," Fahlmann, S. E. and Lebiere, C. ",,," Denver, Colorado. "," In Advances in Neural Information Processing Systems 2 (NIPS-2), ",,,,,,,,
312, (1990) ,"volume2, ", 524-532. ,The cascade-correlation learning architecture. ,, S. E. Fahlman & C. Lebiere. , Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems ," In D. S. Touretzky (ed.), ",,,,,,,
313, (1990)," volume2, ", pages 524-532. , The cascade-correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,,, Advances in Neural Information Processing Systems," In D. S. Touretzky, (ed.), ",,,,,,,
314, (1990). ,"volume2, ",, The Cascade Correlation Learning Architecture. ,, Fahlman S. and Lebiere C. , Morgan Kaufmann. ,,, Advances in Neural Information Processing Systems ," In D. Touretzky (Ed), ",,,,,,,
315,1989.,volume2," pages 524-532, ", The cascade-correlation learning architecture. ,, S. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," Denver, CO, ", In Adv. in Neural Info. Processing Systems  ,,,,,,,,
316, November ,"volume2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. ,,," Den-ver, CO, ", In Advances in Neural Information Processing Systems  ,,,,,,,,
317, 1990. ,volume2.,, The Cascade-Correlation learning architecture. ,, S. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",,, Advances in Neural Information Processing Systems ," In D. Touretzky, editor, ",,,,,,,
318, 1990. ,volume2.,, The Cascade-Correlation learning architecture. ,, S. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",,, Advances in Neural Information Processing Systems ," In D. Touretzky, editor, ",,,,,,,
319, 1990. ," volume 2, ", pages 524-532. , The cascade-correlation learning architecture. ,, S. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",,," Advances in Neural Information Processing Systems, "," In D. Touretzky, editor, ",,,,,,,
322,"(1989),"," volume 2,", 524-532. ," The Cascade-Correlation Learning Architecture,  ",," S. E. Fahlman and C. Lebiere, ",,," Denver, CO ","In Advances in Neural Information Processing Systems,",,,,,,,,
323, 1990. ,"2"""," pp. 524-532, "," The cascade-correlation learning architec ture, ",," S. E. Fahlman AND C. Lebiere, "," Morgan Kaufmann, ",," San Mateo, CA, "," in ""Advances in Neural Information Processing Systems ","(D.  S. Touretzky, Ed.), ",,,,,,,
324, 1990 ,"2, ",," ""The Cascade-Correlation Learning Architecture"", ",," S. E. Fahlmann, C. Lebiere: "," Morgan Kaufmann, ",," San Mateo, ", Advances in Neural Information Processing Systems ,,,,,,,,
325, 1990. , 2. ,, The cascade-correlation architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",,, Advances in Neural Information Processing Systems," In D. S. Touretzky, editor, ",,,,,,,
326, 1990. ," vol.  2,"," pp. 524-532, "," ""The cascade-correlation learning architecture,"" ",," S. Fahlman and C. Lebiere, "," Morgan Kaufmann, "," (San Mateo),",, in Advances in Neural Information Processing Systems," (D. Touretzky, ed.), ",,,,,,,
327, 1990. ," vol.2, "," pp. 524-532, "," ""The cascade-correlation learning architecture,"" ",," S. Fahlman and C. Lebiere, "," Morgan Kaufmann, ","(San Mateo), ",, in Advances in Neural Information Processing Systems ," (D. Touretzky, ed.), ",,,,,,,
328, 1990. ," vol. 2, "," pp. 524-532, "," ""The cascade-correlation learning architecture,"" ",," S. Fahlman and C. Lebiere, "," Morgan Kaufmann, ","(San Mateo), ",, in Advances in Neural Information Processing Systems ," (D. Touretzky, ed.), ",,,,,,,
329, 1990. ,"volume2, ", pages 524-532. , The cascade correlation learning algorithm. ,, S. Fahlman and C. Lebiere. ," Morgan-Kauffman, ",,, Neural Information Systems ," In D. Touretzky, editor, ",,,,,,,
330, (1990)," 2, "," 524-532, "," ""The cascade-correlation architecture,"" ",," Fahlman, S.E., Lebiere, C. ", Morgan Kaufman. ,,,"in Advances in neural information processing systems, "," D.S. Touretzky (ed.), ",,,,,,,
331, 1990.,"2, "," pp. 524-532, "," The cascade-correlation learning algorithm, ",," S. E. Fahlman and C. Lebiere, "," Morgan Kauffman, ",," Los Altos, Ca.: ", Advances in Neural Information Processing Systems ," in D. S. Touretzky, ed., ",,,,,,,
332, 1990. ," 2, "," 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. ,,,, Advances in Neural Information Processing Systems, ed. D.S. Touretsky. ,,,,,,,
333, 1990. ,"2, ", pages 524-532. , The Cascade-Correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kaufmann Publishers, Inc., ",,, Advances in Neural Information Processing Systems ," In D. S. Touretzky, editor, ",,,,,,,
334,1990. ,," pages 524-532, ", The cascade-correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo, CA, "," Advances in Neural Information Processing Systems, "," In D. S. Touretsky, editor, ",,,,,,,
335, 1990. , volume 2. ,, The cascade-correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kauffman Inc., ",,," Neural Information Processing Systems,"," In D. Touretzky, editor, ",,,,,,,
338, 1990. ," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture.,, S.E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo,"," Advances in Neural Information Processing Systems, "," In D. Touretzky, editor, ",,,,,,,
339, 1990. ," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo,"," Advances in Neural Information Processing Systems, ","  In D.S. Touretzky, editor, ",,,,,,,
340, 1990. ," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo, CA,"," Advances in Neural Information Processing Systems, "," In D. S. Touretzky, editor, ",,,,,,,
341,1990. ," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo, CA, "," Advances in Neural Information Processing Systems, "," In D. S. Touretzky, editor, ",,,,,,,
342," (1990),",, 524-532. , The Cascade-Correlation Learning Architecture. ,," Fahlman, S.E. and Lebiere C. ", Morgan Kaufmann. ,, San Mateo: ," In Advances in Neural Information Processing Systems II (Denver 1989), "," ed. D.S. Touretzky, ",,,,,,,
343, 1990. ," vol. 2, "," pp. 524-532, "," The cascade-correlation learning architecture, ",," Fahlman, S.E. and Lebiere, C. "," Morgan Kauffman, ",," San Mateo, CA: "," Advances in Neural Information Processing, "," D.S. Touretzky, (Ed.) ",,,,,,,
344, 1989. ,," pp. 524-532, "," ""The cascade-correlation learning architecture,"" ",," S.E. Fahlman and C. Lebiere, "," Morgan Kaufmann, ",," San Mateo, CA., "," in Ad vances in Neural Information Processing Systems II, ","  edited by D. Touretzky, ",,,,,,,
345, 1990. ," volume 2, ", pages 524-532. , The cascade-correlation learning architecture. ,," Fahlman, S. E. and Lebiere, C. "," Morgan Kaufmann, ",," San Mateo, CA, "," Advances in Neural Information Processing Systems, "," In Touretzky, D., editor, ",,,,,,,
348," (1990),",, pp. 524-532. ," The Cascade-Correlation Learning Architecture, ",, S. E. Fahlman and C. Lebiere ," Kaufmann Publishers, Inc., ",," Denver, Colorado, "," in NIPS 2, "," Editors D. Touretzky, M. ",,,,,,,
349, 1990. ,," pages 524-532, ", The Cascade-Correlation learning architec-ture. ,, Scott E. Fahlman and Christian Lebiere. ,,,," In [13], ",,,,,,,,
350, 1990. ,," pages 524-532, ", The Cascade-Correlation learning architec-ture. ,, Scott E. Fahlman and Christian Lebiere. ,,,," In [13], ",,,,,,,,
351, 1990. ,," pages 524-532, ", The Cascade-Correlation learning architecture. ,, Scott E. Fahlman and Christian Lebiere. ,,,," In [9], ",,,,,,,,
352,1990.," 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. ," IEEE, Morgan Kaufmann. ",," San Mateo, CA, ", Advances in Neural Information Processing Systems," In D. S. Touretzky, editor, ",,,,,,,
353,1990. ," 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. ," IEEE, Morgan Kaufmann. ",," San Mateo, CA, ", Advances in Neural Information Processing Systems," In D. S. Touretzky, editor, ",,,,,,,
354, 1990. ," 2, ", pp. 524-532. ," ""The cascade correlation learning algorithm,"" ",," S. Fahlman and C. Lebiere, "," Morgan-Kauffman, ",,, in Neural Information Systems," D. Touretzky, Ed,",,,,,,,
355, 1990. ," 2, ", pp. 524-532. ," ""The cascade correlation learning algorithm,"" ",," S. Fahlman and C. Lebiere, "," Morgan-Kauffman, ",,, in Neural Information Systems," Ed.,  D. Touretzky, ",,,,,,,
356," 1990, "," vol. 2, ", pp. 524-532. ," The cascade-correlation learning architecture, ",," Fahlman, S.E. and Lebiere, C. "," Morgan Kauffman, ",," San Mateo, CA: "," Advances in Neural Information Processing,"," D.S. Touretzky, (Ed.) ",,,,,,,
357, 1990. ," volume 2, ", pages 524-532. , The cascade-correlation learning architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",,," Advances in Neural Information Processing Systems, "," In D. Touretzky, editor, ",,,,,,,
358, 1990. , 2. ,, The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. ," Morgen Kaufmann, ",,, Advances in Neural Information Processing Systems," In D. S. Touretzky, editor, ",,,,,,,
359, 1990. ,," pages 524-532, ", The Cascade-Correlation learning architecture. ,, Scott E. Fahlman and Christian Lebiere. ,,,," In [16], ",,,,,,,,
360, 1990. ," Vol 2, "," 524-532, ", The Cascade-Correlation Learning Architecture. ,," Fahlman, S. E., and Lebiere, C. "," Morgan Kaufmann Publishers, ",," San Mateo, CA: ",  Advance in Neural Information Processing Systems," (Ed) In Touretzky, D. ",,,,,,,
361, (1990). ,2 ,(pp. 524-532.). , The cascade-correlation learning architecture. ,," Fahlman, S. and Lebiere, C. "," Morgan Kaufmann Publishers, ",, Los Altos CA. , Advances in Neural Information Processing Systems ,"  In D.S. Touretzky (Ed.), ",,,,,,,
362, 1990. ,"2, ", pages 524532. , The cascade-correlation architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kauf mann, ",," San Mateo, CA, ", Advances in Neural Information Processing Structures ," In D. S. Touretsky, editor, ",,,,,,,
363, 1990. ," 2, ", pages 524532. , The cascade-correlation architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kauf mann, ",," San Mateo, CA, ", Advances in Neural Information Processing Structures," In D. S. Touretsky, editor, ",,,,,,,
364,"1989, 1990."," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",, Denver ," Advances in Neural Information Processing Systems, "," In D. Touretzky, editor, ",,,,,,,
367, 1990. ,," pages 524-532, ", The Cascade-Correlation learning architecture. ,, Scott E. Fahlman and Christian Lebiere. ,, 38 REFERENCES ,," In [22], ",,,,,,,,
368, 1990. ,"2, ", pages 524-532. , The cascade correlation learning algorithm. ,, S. Fahlman and C. Lebiere. ," Morgan-Kauffman, ",,, Neural Information Systems ," In D. Touretzky, editor, ",,,,,,,
369, 1990. ," 2, ", pages 524-532. , The cascade correlation learning algorithm. ,, S. Fahlman and C. Lebiere. ," Morgan-Kauffman, ",,, Neural Information Systems," In D. Touretzky, editor, ",,,,,,,
370, (1990). ," 2, ",," ""The Cascade-Correlation Learning Architecture"", ",," Fahlman, Scott E., ", Morgan Kaufman,,, in Advances in Neural Information Processing Systems,,,,,,,,
371, 1990. ,2," pp. 524- ed.532, "," ""The cascade-correlation learning architecture,"" ",," S. Fahlman, "," Morgan Kaufmann Publishers, ",," (San Mateo, CA), ", in Advances in Neural Information Processing Systems ,"D. Touretzky, ed. ",,,,,,,
372, 1990. ,2.,, The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. ," Morgen Kaufmann, ",,, Advances in Neural Information Processing Systems ," In D. S. Touretzky, editor, ",,,,,,,
373, 1990. ," 2, "," 524-532, ",; The Cascaded-Correlation Learning Architecture. ,, S.E. Fahlman and Lebiere C. ,,,," In: Advances in Neural Information Processing Systems, ",,,,,,,,
374, 1990. ," 2, ",, The Cascade-Correlation Learning Architecture. ,, Scott E. Fahlman and Christian Lebiere. ," Morgan Kauffman, ",,, In Advances in Neural Information Processing Systems," Touretzky, Ed. ",,,,,,,
375, 1990. ,"2, ",, The Cascade-Correlation Learning Architecture. ,, Scott E. Fahlman and Christian Lebiere. ," Morgan Kauffman, ",,, In Advances in Neural Information Processing Systems ," Touretzky, Ed. ",,,,,,,
376, 1990. ," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo,"," Advances in Neural Information Processing Systems, ","  In D.S. Touretzky, editor, ",,,,,,,
377, 1990. ," volume 2, "," pages 524-532, ", The cascade-correlation learning architecture. ,, S.E. Fahlman and C. Lebiere. , Morgan Kaufmann. ,," San Mateo,"," Advances in Neural Information Processing Systems, ","  In D.S. Touretzky, editor, ",,,,,,,
378, 1990. ,, pages 524-532. , The cascade-correlation learning architecture. ,, Scott E. Fahlman and Christian Lebiere. ," Morgan Kauf-man, ",,," In Advances in Neural Information Processing Systems II, ",,,,,,,,
379, 1990. ," 2, ", pages 524-532. , The cascade correlation learning algorithm. ,, S. E. Fahlman and C. Lebiere. ,"Morgan-Kauffman,",,"  San Mateo, CA, ", Neural Information Processing Systems,"  In D.S. Touretzky, editor, ",,,,,,,
380, 1990. ,," pages 524-532, ", The cascade-correlation learning architecture. ,, S. Fahlman and C. Lebiere. ," IEEE, Morgan Kaufmann, ",," San Mateo, CA, "," Advances in Neural Information Processing Systems, "," In D. Touretzky, editor, ",,,,,,,
381, 1990. ,," pages 524-532, ", The cascade-correlation learning architecture. ,, S. Fahlman and C. Lebiere. ," IEEE, Morgan Kaufmann, ",," San Mateo, CA, "," Advances in Neural Information Processing Systems, "," In D. Touretzky, editor, ",,,,,,,
382, 1990. ," Vol.2, "," 2, pp. 524-532, "," ""The cascade-correlation learning architecture"", ",," S.E. Fahlman and C. Lebiere, "," Morgan Kaufmann, ",," San Mateo, CA, ", Advances in Neural Information Processing Systems ,,,,,,,,
383, 1990. ," Vol.2, "," 2, pp. 524-532, "," ""The cascade-correlation learning architecture"", ",," S.E. Fahlman and C. Lebiere, "," Morgan Kaufmann, ",," San Mateo, CA, ", Advances in Neural Information Processing Systems ,,,,,,,,
384, 1990. ," Vol.2, "," 2, pp. 524-532, "," The cascade-correlation learning architecture, ",," S.E. Fahlman and C. Lebiere, "," Morgan Kaufmann,  ",," San Mateo, CA, ", Advances in Neural Information Processing Systems,,,,,,,,
385, 1990. ," Vol.2, "," 2, pp. 524-532, "," The cascade-correlation learning architecture, ",," S.E. Fahlman and C. Lebiere, "," Morgan Kaufmann, ",," San Mateo, CA, ", Advances in Neural Information Processing Systems ,,,,,,,,
386, (1990). , 2. ,, The cascade-correlation learning architecture. ,," Fahlman, S. E. & Lebiere, C. ", Morgan Kauffman. ,,, Advances in Neural Information Processing Systems," In Touretzky (Ed.), ",,,,,,,
387, (1990). , 2. ,, The cascade-correlation learning architecture.,," Fahlman, S. E. & Lebiere, C. ", Morgan Kauffman.,,, Advances in Neural Information Processing Systems," In Touretzky (Ed.),",,,,,,,
388, 1990. ," 2, "," pp. 524-532, "," ""The Cascade-Correlation Learning Architecture,"" ",," Fahlman, S., and Lebiere, C., "," Morgan Kaufmann, ",, San Francisco: ," Advances in Neural Information Processing Systems, "," in Touretzky, D., (ed.), ",,,,,,,
389, (1990). , 2. , pp 524-532. , The Cascade Correlation Learning Architecture.,," Fahlman, S. E. and Lebiere, C. "," Morgan-Kauffman, ",,, In Neural Information Systems," Touretzky, D. S. (ed). ",,,,,,,
390, (1990). , 2. , pp 524-532. , The Cascade Correlation Learning Architecture.,," Fahlman, S. E. and Lebiere, C. "," Morgan-Kauffman, ",,, In Neural Information Systems," Touretzky, D. S. (ed). ",,,,,,,
391," (1990),",, 524-532. , The Cascade-Correlation Learning Architecture. ,," Fahlman, S.E. and Lebiere C. ", Morgan Kaufmann. ,, San Mateo: ," In Advances in Neural Information Processing Systems II (Denver 1989), "," ed. D.S. Touretzky, ",,,,,,,
392," (1990), "," 2, ", pp. 524-532. ,"The Cascade-Correlation Learning Architecture, ",, S. E. Fahlman and Lebiere C. ," Morgan Kauf-mann Publishers, Inc., ",," Denver, Colorado, ", in Neural Information Processing Systems," Editors D. Touretzky, ",,,,,,,
393," 1990, ","2, ", pp. 524-532. ," The Cascade-Correlation Learning Architecture, ",," S. E. Fahlman and C. Lebiere, "," Morgan Kaufmann Publishers, Inc., ",," Denver, Colorado, ", in Neural Information Processing Systems ," Editors D. Touretzky, ",,,,,,,
394, (1991): ,, pp. 524-532 ,"The Cascade-Correlation Learning Architecture, ",, S. E. Fahlman and C. Lebiere , Morgan Kaufmann. ,,," in Advances in Neural Information Systems II, "," D. E. Touretzky, ed. ",,,,,,,
395, 1990. ," vol.2, "," pp. 524-532, ", The Cascade-Correlation Learning Architecture. ,, S. E. Fahlman and C. Lebiere. ," Morgan Kaufmann, ",," San Mateo CA, "," Advances in Neural Information Processing Systems (NIPS89), ",,,,,,,,
396, (1991). ,"3, ", 190-205. , The recurrent cascade-correlation architecture. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems ," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
397, (1991). ,"3, ", 190-205. , The recurrent cascade-correlation architecture. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems ," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
398, (1991). ," 3, ", 190-205. , The recurrent cascade-correlation architecture. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
399, (1991). ,"3, ", 190-205. , The recurrent cascade-correlation architecture. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems ," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
400, (1991). ,"3, ", pages 190-196. , The recurrent cascade-correlation architecture. ,," Fahlman, S. E. ", Morgan Kaufmann Publishers. ,," San Mateo, California: ", Advances in Neural Information Processing Systems ," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
401, (1991). ," 3, ", pages 190-196. , The recurrent cascade-correlation learning algorithm. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
402, (1991). ,"3, ", pages 190-196. , The recurrent cascade-correlation learning algorithm. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: ", Advances in Neural Information Processing Systems ," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
403, (1991). ,, pages 190-196. , The recurrent cascade-correlation learning algorithm. ,," Fahlman, S. E. ", Morgan Kaufmann. ,," San Mateo, CA: "," NIPS 3, "," In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, ",,,,,,,
405, 1991. ," 3, "," pages 190-196, ", The recurrent cascade-correlation architecture. ,, Scott E. Fahlman. , Morgan Kaufmann Publishers. ,," San Mateo, California,", Advances in Neural Information Processing Systems," In R. P. Lipp-mann, J. E. Moody, and D. S. Touretzky, editors, ",,,,,,,
406, 1991. ,"3, ", pages 190-196. , The recurrent cascade-correlation architecture. ,, S. Fahlman. ," Morgan Kaufmann Publishers, Inc., ",," San Mateo, California, ", Advances in Neural Information Processing Systems ," In R. Lippmann, J. Moody, and D. Touretzky, editors, ",,,,,,,
407, 1991. ," 3, "," pages 190-196, ", The recurrent cascade-correlation architecture. ,, Scott E. Fahlman. , Morgan Kaufmann Publishers. ,," San Mateo, California,", Advances in Neural Information Processing Systems," In R. P. Lippmann, J. E. Moody, and D. S. Touretzky, editors, ",,,,,,,
408, 1991. ,3," pp. 190-196, "," ""The recurrent cascade-correlation architecture,"" ",," S. Fahlman, "," Morgan Kaufmann Publishers, ",," (San Mateo, CA), ", in Advances in Neural Information Processing Systems ," R.P.Lippmann, J. Moody, and D. Touretzky, eds.), ",,,,,,,
409, 1991. ,"3, "," pages 190-196, ", The recurrent cascade-correlation architecture. ,, Scott E. Fahlman. , Morgan Kaufmann Publishers. ,," San Mateo, California,", Advances in Neural Information Processing Systems ," In R. P. Lippmann, J. E. Moody, and D. S. Touretzky, editors, ",,,,,,,
410,1991. ," 3, "," pages 190-196, ", The recurrent cascade-correlation architecture. ,, Scott E. Fahlman. , Morgan Kaufmann Publishers. ,," San Mateo, California, ", Advances in Neural Information Processing Systems," In R. P. Lippmann, J. E. Moody, and D. S. Touretzky, editors, ",,,,,,,
411, 1991. ,"3, ", pages 190 196. , The recurrent cascade-correlation architecture. ,, S. Fahlman. ," Morgan Kaufmann, ",," San Mateo, CA, ", Advances in Neural Information Processing Systems ," In R. Lippmann, J. Moody, and D. Touretzky, editors, ",,,,,,,
412, 1991. ,"3, ", pages 190 196. , The recurrent cascade-correlation architecture. ,, S. Fahlman. ," Morgan Kaufmann, ",," San Mateo, CA, ", Advances in Neural Information Processing Systems ," In R. Lippmann, J. Moody, and D. Touretzky, editors, ",,,,,,,
413,(1991). ," 3, ",," ""The Recurrent Cascade-Correlation Architecture"", ",," Fahlman, Scott E., ", Morgan Kaufman ,,, in Advances in Neural Information Processing Systems,,,,,,,,
414, 1991. ,3 ," pp. 190-196, "," ""The recurrent cascade-correlation architecture,""",," S. Fahlman, "," Morgan Kaufmann Publishers, ",," (San Mateo, CA), ", in Advances in Neural Information Pro--cessing Systems ,"R. Lippmann, J. Moody, and D. Touretzky, eds.",,,,,,,
415, 1991. ," chapter 6, ", pages 137-156. , Design considerations for CMU common lisp. ,, Scott E. Fahlman and David B. McDonald. ," The MIT Press, ",,," Advanced Language Implementation,"," In Peter Lee, editor, ",,,,,,,
416, 1991. ," chapter 6, ", pages 137-156. , Design considerations for CMU common lisp. ,, Scott E. Fahlman and David B. McDonald. ," The MIT Press, ",,," Advanced Language Implementation,"," In Peter Lee, editor, ",,,,,,,
417, (1991). ,,, The Recurrent Cascade-Correlation Architecture. ,," Fahlman, S.E. ",,, Pittsburgh.,,,," CMU-CS-91-100, "," School of Computer Science, Carneige Mellon University, ",,,,
418, May ,,," ""The Recurrent Cascade-Correlation Architecture,"" ",," Scott E. Fahlman, ",,,,,,," Technical Report CMU-CS-91-100, "," Dept. of Computer Science, Carnegie Mellon University, ",,,,
419, May ,,," ""The Recurrent Cascade-Correlation Architecture,"" ",," Scott E. Fahlman, ",,,,,,," Technical Report CMU-CS-91-100, "," Dept. of Computer Science, Carnegie Mellon University, ",,,,
420, May ,,," ""The Recurrent Cascade-Correlation Architecture,"" ",," Scott E. Fahlman, ",,,,,,," Technical Report CMU-CS-91-100, "," Dept. of Computer Science, Carnegie Mellon University, ",,,,
421, 1993.,,pages 85-89., Some thoughts on NETL 15 years later.,, Scott E. Fahlman. ," AAAI,"," Working Notes, Spring Symposium Series, ",," Innovative Applications of Massive Parallelism, "," In James Geller, editor,",,, Stanford University. ,,,,
422," (1993), ",,," CMU Benchmark Collection for Neural Net Learning Algorithms, ",," Fahlman, S. E. ",,, Pittsburgh. ,,,,," Carnegie Mellon University, School of Computer Science, ",,,,
423, 1996. ,,," The Cascade 2 Learning Architecture, ",," S. E. Fahlman, L. D. Baker and J. A. Boyan, ",,,,,,," Technical Report, "," CMU-CS-TR-96-184, Carnegie Mellon University, ",,,,
424, 1996. ,,," The Cascade 2 Learning Architecture, ",," S. E. Fahlman, L. D. Baker and J. A. Boyan, ",,,,,,," Technical Report, "," CMU-CS-TR-96-184, Carnegie Mellon University, ",,,,
425, 1996. ,,," The Cascade 2 Learning Architecture, ",," S. E. Fahlman, L. D. Baker and J. A. Boyan, ",,,,,,," Technical Report, "," CMU-CS-TR-96-184, Carnegie Mellon University, ",,,,
426, 1993. ,, 43-48. , A Space Based Model for User Interaction in Shared Synthetic Environments. ,," Fahln, L.E.; C.G.Brown; O.Stahl; C.Carlsson. "," ACM, NY: ",,, In Proceedings of InterCHI93 (Amsterdam).,,,,,,,,
427, 1993. ,, 43-48. , A Space Based Model for User Interaction in Shared Synthetic Environments. ,," Fahln, L.E.; C.G.Brown; O.Stahl; C.Carlsson. "," ACM, NY: ",,, In proceedings of the InterCHI93 conference (Amsterdam).,,,,,,,,
428, March ,," pp. 113-114, "," Low bit-rate coding through animation, ",," R. Forchheimer and O. Fahlander, ",,,," in Proceedings Picture Coding Symposium (PCS-83), Davis, ",,,,,,,,
430, Oct. ,, pages 176-191. , A register allocation framework based on hierarchical cyclic interval graphs. ,," L. J. Hendren, G. R. Gao, E. R. Altman, and C. Muk-erji. "," Springer-Verlag, ",,," Proc. of the Intl. Conf. on Compiler Construction, number 641 in Lec. Notes in Comp. Sci., "," In U. Kastens and P. Pfahler, editors, ",,,,,,,
431, (1995)," 24, ",, A recurrent model for learning a hyperacuity task. ," Perception, "," Herzog, M.H. & Fahle, M. ",,,,,,,,,,,,
432, 1991. ,,, Learning with limited numerical precision using the cascade-correlation algorithm. ,," Hoehfeld, M. and Fahlman, S. E. ",,," Pittsburgh, PA, ",,,," Preprint, "," School of Computer Science, Carnegie-Mellon University, ",,,,
433, July ," vol. 3, no. 4, ",, Learning with Limited Numerical Precision Using the Cascade-Correlation Algorithm. ," IEEE Transactions on Neural Networks, ", M. H. Hoehfeld and S. Fahlman. ,,,,,,,,,,,,
434," October 5-7, "," Vol. 641,", pp.  125-140," The interprocedural coincidence theorem, ",," Knoop, J. and Steffen, B., "," Pfahler,Springer-Verlag, "," Lecture Notes in Computer Science,"," Paderborn FRG, "," in Proceedings of the Fourth International Conference on Compiler Construction, ", U. Kastens and P. ed. ,,,,,,,
435," October 5-7, "," Vol. 641,",pp. 125-140 ," The interprocedural coincidence theorem, ",," Knoop, J. and Steffen, B., "," Springer-Verlag, "," Lecture Notes in Computer Science,"," FRG, Paderborn ","in Proceedings of the Fourth International Conference on Compiler Construction, "," U. Kastens and P. Pfahler, ed. ",,,,,,,
436," October 5-7, "," Vol. 641, ", pp.125-140 ," The interprocedural coincidence theorem,",," Knoop, J. and Steffen, B., "," Springer-Verlag, "," Lecture Notes in Computer Science,"," FRG, Paderborn ","in Proceedings of the Fourth International Conference on Compiler Construction,"," U. Kastens and P. Pfahler, ed. ",,,,,,,
437," October 5-7, ","Vol. 641,", pp. 125-140," The interprocedural coincidence theorem,",," Knoop, J. and Steffen, B., "," Springer-Verlag, "," Lecture Notes in Computer Science,"," FRG, Paderborn "," in Proceedings of the Fourth International Conference on Compiler Construction,"," U. Kastens and P. Pfahler, ed. ",,,,,,,
